Município,Regional,Tipo,Área de atuação,2020,2021,2022,2023,2024,2025
Itatiba,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,6,5,6,2,5,3
Itatiba,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,1,1,1,3
Jaguariúna,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,2,1,0,1,1
Jaguariúna,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,1,5,7,4,7
Jaguariúna,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,84,87,30,23,32,40
Jaguariúna,Campinas,RRT Inicial,Arquitetura das Edificações,387,538,392,355,419,406
Jaguariúna,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,2,4,4,0
Jaguariúna,Campinas,RRT Inicial,Conforto Ambiental,3,2,2,7,7,15
Jaguariúna,Campinas,RRT Inicial,Meio Ambiente,2,9,6,2,6,2
Monte Mor,Campinas,RRT Inicial,Conforto Ambiental,0,1,3,2,2,4
Monte Mor,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,6,6,6,6,48,19
Monte Mor,Campinas,RRT Inicial,Arquitetura das Edificações,241,257,208,222,253,241
Monte Mor,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,1,1,1,1,0
Monte Mor,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,0,1,0,0,0
Morungaba,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,0,0,0,1,0
Morungaba,Campinas,RRT Inicial,Conforto Ambiental,2,4,6,6,8,7
Morungaba,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,1,2,5,3,2,1
Morungaba,Campinas,RRT Inicial,Arquitetura das Edificações,17,31,31,31,35,38
Nova Odessa,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,0,1,0,0,0
Nova Odessa,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,1,0,1,1,5
Nova Odessa,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,0,0,1
Nova Odessa,Campinas,RRT Inicial,Meio Ambiente,3,0,1,0,0,0
Nova Odessa,Campinas,RRT Inicial,Conforto Ambiental,2,5,4,7,5,5
Nova Odessa,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,6,12,11,10,14,5
Nova Odessa,Campinas,RRT Inicial,Arquitetura das Edificações,232,494,443,455,416,414
Paulínia,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,9,14,18,12,3
Paulínia,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,17,31,11,20,13,18
Paulínia,Campinas,RRT Inicial,Arquitetura das Edificações,858,1240,847,929,1025,1001
Paulínia,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,1,0,0,1,0
Paulínia,Campinas,RRT Inicial,Meio Ambiente,3,2,3,3,4,2
Paulínia,Campinas,RRT Inicial,Conforto Ambiental,10,11,5,14,13,10
Pedreira,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,12,22,9,6,30,18
Pedreira,Campinas,RRT Inicial,Arquitetura das Edificações,121,144,131,125,126,131
Pedreira,Campinas,RRT Inicial,Conforto Ambiental,0,4,3,2,0,2
Pedreira,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,1,1,0,1
Pedreira,Campinas,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,1,2,2,0,4
Pedreira,Campinas,RRT Inicial,Planejamento Urbano e Regional,0,0,1,0,0,0
Santa Bárbara d'Oeste,Campinas,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,1,2,3
Santa Bárbara d'Oeste,Campinas,RRT Inicial,Urbanismo e Desenho Urbano,29,21,28,26,25,25
Santa Bárbara d'Oeste,Campinas,RRT Inicial,Arquitetura das Edificações,497,674,544,468,537,621
Santa Bárbara d'Oeste,Campinas,RRT Inicial,Conforto Ambiental,6,21,9,15,20,14
