Região,Código IBGE,Município,Área (Km²),População,Áreas verdes (m²/habitante),Uso total de energia elétrica residencial per capita (kWh/dia),Consumo doméstico total de água per capita (litros/dia),Emissão de gases de efeito de estufa medida em toneladas per capita,Porcentagem do orçamento municipal anual destinada às infraestruturas verde e azul ,Porcentagem de áreas designadas para proteção natural,"Porcentagem da área da cidade coberta com materiais com alto índice de albedo, o que contribui para a mitigação das ilhas de calor urbanas",Porcentagem de resíduos sólidos urbanos que são reciclados,Número anual de focos de incêndio por km²,Porcentagem do orçamento municipal anual destinado ao planejamento do gerenciamento de emergências,Alocação total de fundos de reserva para desastres como porcentagem do orçamento total da cidade,Porcentagem do orçamento municipal anual destinada à atualização e manutenção de infraestrutura de águas pluviais,Número anual de propriedades residenciais inundadas como porcentagem do total de propriedades residenciais na cidade,Porcentagem da área urbana exposta a risco de ameaças naturais,Porcentagem anual da população da cidade diretamente afetada por ameaças naturais,Porcentagem do orçamento municipal anual destinada a iniciativas de agricultura urbana,Porcentagem da população em domicílios em risco de insegurança alimentar,Total da área agrícola por habitante,Frequência anual dos eventos de tempestades extremas,Frequência anual de eventos de calor extremo,Frequência anual de eventos de frio extremo,Frequência anual de eventos de seca meteorológica,Intensidade dos eventos de tempestades extremas,Intensidade dos eventos de calor extremo,Intensidade dos eventos de frio extremo,Porcentagem da população da cidade com serviço de abastecimento de água potável,Porcentagem da população da cidade atendida por sistemas de coleta e afastamento de esgoto,Porcentagem da população da cidade com coleta regular de resíduos sólidos (domiciliar),Inexistência de banheiro exclusivo,Número de cômodos igual ao número de dormitórios,Adensamento excessivo de domicílios alugados,Domicílio cômodo,Adensamento excessivo de domicílios (exceto alugados),Domicílios rústicos,Domicílios improvisados em favelas e comunidades urbanas,Taxa de mortalidade de crianças menores de cinco anos a cada 1.000 nascidos vivos,Número de internações hospitalares por Doenças Relacionadas ao Saneamento Ambiental Inadequado – DRSAI por 100.000 habitantes,Presença de pessoas com deficiência (PCD),Renda per capita,Média do valor da terra nua rural,Taxa de distorção idade-série no Ensino Fundamental,Porcentagem de mães solo chefes de família,Taxa de alfabetização de pessoas economicamente ativas,Gravidez na adolescência (<19 anos),Mitigação,Adaptação,Déficit Habitacional,Vulnerabilidade Social,Índice de Resiliência Climática e Territorial
Região Metropolitana de Campinas,3531803,Monte Mor,240.566,67832,230.47,1.79,152.99,1.79,2.95,0.02,0.01,0.00,0.02,0.77,0.40,0.00,0.00,1.41,0.59,0.19,0.46,0.30,0,9,7,3,0.0,5.1,8.8,100.00,100,89.11,0.04,4.29,1.07,0.04,3.14,0.15,0.00,23.30,51.6,14.23,1062.75,37035.56,11.20,12.56,97.20,1.38,1.66,4.59,2.36,5.71,4.33
Região Metropolitana de Campinas,3532009,Morungaba,146.752,14147,2156.10,3.15,141.37,3.15,0.52,78.99,0.00,8.42,0.00,0.00,1.24,0.00,0.00,0.55,0.00,0.66,0.04,0.80,0,6,8,3,0.0,3.5,7.9,87.75,100,85.33,0.02,4.14,1.03,0.00,0.77,0.23,0.00,7.00,49.48,12.80,1250.00,50858.76,3.50,12.13,97.78,1.50,5.81,6.54,2.62,3.98,7.15
Região Metropolitana de Campinas,3533403,Nova Odessa,73.788,64596,73.18,2.76,163.46,2.76,2.35,0.00,0.24,0.28,0.08,0.00,0.23,0.00,0.00,0.78,0.00,0.00,0.00,0.07,0,10,6,4,0.0,4.6,5.7,100.00,100,98.00,0.03,2.76,0.39,0.06,0.84,0.12,0.00,10.20,26.32,13.28,1500.00,71872.41,3.70,11.18,98.88,0.75,1.13,4.69,1.87,3.72,5.19
Região Metropolitana de Campinas,3536505,Paulínia,138.777,116674,98.37,39.65,177.40,39.65,1.20,0.03,0.07,1.54,0.06,1.56,0.90,0.59,0.00,1.02,0.00,0.00,0.05,0.07,0,10,8,4,0.0,4.3,8.8,100.00,100,100.00,0.02,2.48,0.48,0.14,0.63,0.15,0.00,10.10,203.13,10.72,1750.00,42963.18,4.50,12.26,98.83,0.76,0.04,6.31,1.76,4.03,4.79
Região Metropolitana de Campinas,3537107,Pedreira,108.817,44385,422.49,1.91,139.05,1.91,1.56,99.97,0.02,0.02,0.03,0.84,0.63,0.25,0.00,7.43,0.00,0.32,0.07,0.18,0,12,7,3,0.0,4.0,5.1,98.33,98.33,97.35,0.04,5.34,1.05,0.00,0.63,0.10,0.00,4.00,33.8,13.94,1366.67,43231.53,1.00,12.38,98.06,1.40,3.45,5.97,2.64,3.12,6.57
Região Metropolitana de Sorocaba,3537800,Piedade,746.903,54266,5728.56,2.62,143.79,2.62,1.55,4.45,0.00,0.00,0.02,0.00,2.03,0.20,0.00,0.56,0.00,0.65,0.26,0.76,1,1,10,1,1.0,3.2,8.1,62.68,92.19,33.77,0.24,4.04,0.23,0.10,1.57,0.28,0.00,18.60,88.45,13.91,1190.67,39481.29,1.20,11.37,97.23,1.71,3.06,6.26,4.34,3.98,5.06
Região Metropolitana de Sorocaba,3537909,Pilar do Sul,681.248,28459,7205.55,3.59,143.39,3.59,3.26,0.19,0.00,1.82,0.00,0.04,0.17,0.00,0.00,3.27,0.00,3.15,0.07,1.61,0,3,8,1,0.0,4.2,8.1,95.50,100,56.19,0.24,2.88,0.12,0.16,1.61,0.00,0.00,4.90,42.17,18.56,1200.00,26213.61,1.60,9.68,96.71,2.95,4.73,6.95,3.17,3.86,7.07
Região Metropolitana de Sorocaba,3540606,Porto Feliz,556.706,58605,785.67,3.77,149.34,3.77,0.57,29.45,0.03,2.84,0.03,0.79,0.07,0.03,0.00,0.53,0.00,0.38,0.01,0.82,0,9,8,2,0.0,5.2,8.8,84.73,100,84.73,0.05,3.23,1.05,0.00,1.82,0.14,0.00,7.30,35.83,15.14,1212.00,42178.15,1.90,10.74,97.64,1.68,2.9,6.32,3.42,3.60,5.63
Consórcio Intermunicipal do Grande ABC,3543303,Ribeirão Pires,98.972,118954,444.58,1.23,124.49,1.23,1.05,0.00,0.00,0.84,0.02,0.71,1.07,0.10,0.02,7.43,0.00,0.00,0.09,0.02,1,4,9,3,19.1,3.5,6.2,90.69,100,82.75,0.07,4.9,0.82,0.57,2.28,0.57,2.76,11.40,12.61,14.31,1220.00,58679.77,2.70,13.22,98.47,1.00,1.56,3.27,6.78,3.98,2.55
Consórcio Intermunicipal do Grande ABC,3544103,Rio Grande da Serra,36.341,45324,127.77,0.70,120.66,0.70,0.69,0.00,0.08,0.00,0.00,0.00,2.42,0.08,0.00,12.88,0.00,0.00,0.89,0.01,4,4,11,2,9.5,3.2,6.4,93.94,93.69,74.14,0.11,6.35,1.61,0.15,3.41,0.00,0.00,18.60,11.03,15.80,1000.00,61391.72,3.90,15.86,97.56,1.30,2.75,3.67,5.32,5.44,3.31
Região Metropolitana de Sorocaba,3545209,Salto,133.057,141111,67.37,1.52,154.96,1.52,0.60,7.93,0.32,3.79,0.07,0.00,0.38,0.02,0.00,1.37,0.00,0.00,0.19,0.06,0,8,9,3,0.0,4.8,8.7,96.86,100,95.88,0.03,6.64,1.01,0.10,1.45,0.19,0.00,16.80,68.03,15.14,1400.00,62049.17,2.20,11.71,98.46,1.31,1.19,3.81,3.55,4.71,3.56
Região Metropolitana de Sorocaba,3545308,Salto de Pirapora,280.412,45262,1050.78,53.64,167.58,53.64,0.63,0.02,0.00,2.96,0.01,1.24,0.41,0.00,0.00,0.87,0.00,0.00,0.23,0.44,0,11,8,0,0.0,5.8,8.4,98.58,100,77.13,0.10,4.82,0.47,0.08,2.24,0.70,0.00,20.00,227.56,18.22,1200.00,53468.37,4.20,12.87,97.98,1.04,1.99,4.69,3.72,5.93,3.85
Região Metropolitana de Campinas,3545803,Santa Bárbara D'Oeste,271.03,189456,84.29,1.61,157.09,1.61,5.17,0.00,0.00,2.52,0.05,0.24,0.92,0.29,2.66,0.12,0.00,0.00,0.00,0.11,1,9,8,4,2.9,5.0,8.6,99.43,100,99.05,0.04,3.32,0.6,0.05,0.64,0.14,0.00,13.10,46.98,12.12,1500.00,52514.18,2.00,11.53,98.66,1.00,1.39,4.64,1.95,3.71,5.22
Consórcio Intermunicipal do Grande ABC,3547809,Santo André,175.801,782048,119.03,1.10,150.12,1.10,4.43,3.60,0.01,1.05,0.00,0.10,0.34,1.88,0.01,17.67,0.00,0.06,0.05,0.00,2,4,9,2,7.4,3.6,6.5,100.00,100,100.00,0.11,5.45,0.74,0.69,1.22,0.60,0.13,11.30,19.05,12.79,1625.00,24921.74,3.20,12.7,98.69,0.84,5.77,3.59,5.11,2.85,5.60
Região Metropolitana de Campinas,3548005,Santo Antônio de Posse,154.133,23867,508.43,4.30,169.34,4.30,0.13,24.43,0.37,2.28,0.01,0.00,3.64,0.08,0.00,0.00,0.00,0.00,0.16,0.55,1,10,7,4,1.2,3.7,5.0,93.35,100,93.35,0.13,4.73,1.32,0.59,1.61,0.11,0.00,7.30,41.9,12.57,1200.00,55582.21,14.50,11.37,97.55,2.11,0.97,5.3,4.90,5.58,3.72
